Each record represents a work of art that was painted by one of the artists in this database and is displayed in one of the museums in this database.  ,https://docs.google.com/spreadsheets/d/e/2PACX-1vSOwzF6ydDZFQflMt7U6VdBjwbj08C02gyESoFjOJ_JW5UBA26gYV8eGwWk51y4h3lH52A35yov7qWN/pub?gid=250719604&single=true&output=csv,"{""top"":10,""left"":116}
",,,,
160348,A Young Woman Warming Her Hands Over a Brazier,43,768,Baroque,20,24
160364,Pan and Syrinx,43,768,Baroque,18,24
160372,Woman Praying,43,768,Baroque,21,24
160380,The Fall of Man,43,914,Baroque,19,24
160396,View of The Hague,43,509,,24,20
160412,"Landscape on the Rio Senhor de Engenho, Brazil",43,554,Baroque,24,19
160420,"View of the Island of Itamaracá, Brazil",43,554,Baroque,24,17
160428,The Holy Kinship,43,727,Renaissance,23,30
160436,The Tree of Jesse,43,727,Renaissance,20,30
160444,The Adoration of the Magi,43,727,Renaissance,23,30
160452,The Sick Child,43,586,Baroque,20,24
160460,The Weaponsmith,43,586,Baroque,20,24
160468,"Woman Eating, Known as The Cat's Breakfast",43,586,Baroque,19,24
160516,"Overgrown Cliffs with a Waterfall in Italy, Tivoli",43,617,,24,20
160532,The Crucifixion,43,874,Renaissance,25,30
160540,Bentheim Castle,43,703,Baroque,19,24
160548,Landscape with Waterfall,43,703,Baroque,24,17
160556,Winter Landscape,43,703,Baroque,20,17
160660,Interior of the Church of St. Bavo in Haarlem,43,767,Baroque,14,24
160669,Interior of the Sint-Odulphuskerk in Assendelft,43,767,Baroque,24,16
160677,The Nave and Choir of the Mariakerk in Utrecht,43,767,Baroque,19,24
160685,The Old Town Hall of Amsterdam,43,767,Baroque,24,19
160709,Still Life with Flowers on a Marble Tabletop,43,842,Baroque,19,24
160717,"Jan Baptist Kobell II, Painter",43,705,,16,20
160753,"The Zuiderhavendijk, Enkhuizen",43,509,,24,18
160763,Brazilian Village,43,554,Baroque,24,18
160783,"View of Olinda, Brazil",43,554,Baroque,24,15
160795,Italian Landscape with Umbrella Pines,43,617,,24,17
160815,Salome with the Head of John the Baptist,43,874,Renaissance,18,24
160825,Saul and the Witch of Endor,43,874,Renaissance,30,21
160835,The Windmill at Wijk bij Duurstede,43,703,Baroque,24,20
160895,Still Life with Flowers in a Glass Vase,43,842,Baroque,20,24
160905,Piano Practice Interrupted,43,705,,24,30
160915,The Love Letter,43,705,,25,30
160925,Girl in a Large Hat,43,768,Baroque,21,24
160935,Man and Woman at a Meal,43,586,Baroque,22,24
160941,Old Woman Meditating,43,586,Baroque,20,24
160947,The Herring-Seller,43,586,Baroque,21,24
160953,The Hunter's Present,43,586,Baroque,23,24
160959,The Old Drinker,43,586,Baroque,21,24
163031,Man in Oriental Clothing,43,920,Baroque,13,20
163045,Head of a Boy,43,920,Baroque,15,20
163062,Laughing Young Man,43,920,Baroque,15,20
163079,Johannes Wtenbogaert,55,920,Baroque,19,24
164183,The Return from the Hunt,55,575,Baroque,19,24
164322,A Mother Delousing Her Child’s Hair,43,749,Baroque,30,24
164373,Farmyard,43,909,Baroque,24,19
164391,Figures in a Courtyard Behind a House,43,749,Baroque,19,24
164421,Interior with Women Beside a Linen Cupboard,43,749,Baroque,24,19
164434,Italian Landscape with the Ponte Molle,43,909,Baroque,20,16
164444,Italian Landscape with Ferry,43,909,Baroque,20,16
164458,Italian Landscape with a View of a Harbor,43,909,Baroque,20,16
164473,Italian Landscape with a Draughtsman,43,909,Baroque,24,19
164558,"Portrait of a Man, possibly a Clergyman",43,732,Baroque,16,20
164583,Portrait of Maritge Claesdr Vooght,43,732,Baroque,19,24
164628,Still Life with a Broken Glass,43,806,Baroque,20,16
164641,Still Life with a Gilded Beer Tankard,43,806,Baroque,20,16
164809,Woman with a Child in a Pantry,43,749,Baroque,19,24
164824,Still Life with Roemer and Silver Tazza,43,806,Baroque,20,16
164837,Street Scene Placed Among Roman Ruins,43,909,Baroque,24,19
164850,Senior Merchant,43,592,Baroque,20,13
164862,View of Dordrecht at Sunset,43,592,Baroque,20,16
167325,"Aletta Pancras, Wife of Francois de Vicq",43,625,Baroque,16,20
167336,"Francois de Vicq, Burgomaster of Amsterdam",43,625,Baroque,16,20
167358,The Massacre of the Innocents,43,914,Baroque,30,20
167363,Italianate Landscape with Pines,43,617,,24,19
167375,A Calm at Sea,43,729,,30,24
167397,Ships at Anchor on the Coast,43,729,,24,19
167406,Ships Near the Coast in Windy Weather,43,729,,30,24
167424,Dutch Ships in a Calm Sea,43,729,,24,16
167433,Ships Near the Coast During a Calm,43,729,,36,24
167442,The Capture of the Royal Prince,43,729,,24,16
167451,The Surrender of the Royal Prince,43,729,,24,16
167469,Ships Before the Coast,43,729,,30,30
167478,A Harbor,43,729,,24,30
167500,The Cannon Shot,43,729,,19,24
167511,Encounter During the Battle of Kijkduin,43,729,,20,13
167710,A Dutch Vessel in a Strong Breeze,43,729,,20,13
167719,A Dutch Yacht Saluting,43,729,,20,13
167728,Dutch Ships and Small Vessels Offshore in a Breeze,43,729,,20,13
167737,Christ Crowned with Thorns,43,832,Baroque,24,19
167748,Portrait of a Woman,43,832,Baroque,16,20
167762,Portrait of an Artist,43,832,Baroque,16,20
167771,Portrait of Amalia van Solms,43,832,Baroque,24,30
167780,"Portrait of Frederick Henry, Prince of Orange",43,832,Baroque,18,24
167789,"Portrait of Frederik Hendrik, Prince of Orange",43,832,Baroque,29,36
167798,"Portrait of Willem II, Prince of Orange",43,832,Baroque,19,24
167807,"Portrait of William II, Prince of Orange",43,832,Baroque,24,30
167816,"Portrait of William III, Prince of Orange",43,832,Baroque,24,30
167825,The Merry Fiddler,43,832,Baroque,16,20
167852,Satyr and Nymph,43,832,Baroque,24,19
167872,"Shepherd Playing the Flute, and Four Shepherdesses",43,832,Baroque,30,15
167968,The Immaculate Conception,50,701,Renaissance,16,30
167984,Carlos V en MuÂ¨hlberg,50,627,Renaissance,20,24
168056,Portrait of a Cardinal,50,558,Renaissance,19,24
168064,The Descent from the Cross,50,783,Renaissance,30,23
168132,Royal Yacht Becalmed at Anchor,41,522,,24,16
168271,L'Embarquement Pour Cythere,67,908,Rococo,30,20
168278,La Parnasse,55,793,Renaissance,30,25
168426,A Roman Triumph,55,544,,30,16
168433,A Shepherd with His Flock in a Woody Landscape,47,544,Baroque,24,16
168443,The Watering Place,47,544,Baroque,24,16
168453,Aurora Abducting Cephalus,50,544,Baroque,24,16
168868,"Lower Falls, Rochester",60,666,American Landscape,24,16
168953,Sainte Jean Baptiste,47,558,Renaissance,30,30
169201,The Merchant Georg Gisze,40,848,Renaissance,24,30
169235,The Donne Triptych,35,510,Renaissance,36,36
169244,Virgin and Child,35,510,Renaissance,13,20
169261,Pastoral Concert,47,627,Renaissance,30,24
169272,Venus and Adonis,47,627,Renaissance,30,24
169320,The Quack,47,846,Baroque,19,24
169386,The Rest on the Flight Into Egypt,47,737,Baroque,24,30
169395,Blind Orion Searching for the Rising Sun,47,737,Baroque,36,24
169402,The Victory of Joshua Over the Amalekites,47,737,Baroque,30,20
170020,The Convalescent,47,682,Nabi,16,20
170193,View of Ariccia,60,529,,24,16
170221,A Court Interior in an Italian Monastery,35,529,,30,24
170232,View of Valdemarsudde,35,529,,30,24
170583,The Morning,49,651,Realism,40,20
170709,Hunting in the Pontine Marshes,46,740,Orientalism,54,39
170967,Shipwreck,60,740,Orientalism,36,24
170984,The Battle of Hanau,55,740,Orientalism,30,18
171097,Cliffs of Etretat,53,645,Realism,30,24
171423,Roses,35,786,Realism,20,20
171472,Peches,49,786,Realism,24,16
171548,Still Life with Fruit and Vase,35,637,Realism,16,20
171578,Fruit and Asparagus,47,637,Realism,20,16
171589,Still Life,60,637,Realism,20,16
172093,Interior with Figures,67,835,Realism,30,24
173398,Arbres a la Maison Bleue,36,739,Fauvism,20,16
174583,Notre Dame de Paris,49,649,Realism,20,16
175522,Time Orders Old Age to Destroy Beauty,55,583,Rococo,16,24
175698,Portrait of a Naval Officer,60,796,Rococo,24,30
176159,A Young Girl Seated,35,539,Neo-Classicism,24,30
176169,A Young Girl with Auburn Hair,61,539,Neo-Classicism,16,20
176329,Portrait of Madame Van Westrenen of Tremaat,35,539,Neo-Classicism,24,30
176349,Flora and Zephyr,68,539,Neo-Classicism,24,30
176387,The Awakening,62,539,Neo-Classicism,24,30
176533,Portrait of a Woman as Flora,53,746,Rococo,24,30
179331,Relief Disques,30,711,Cubism,24,16
179382,La Tour Eiffel,30,711,Cubism,16,20
179470,Relief Noir avec des Cercles de Couleur,60,711,Cubism,16,20
179481,Relief Rythme,61,711,Cubism,16,20
179503,"Hommage a Bleriot, Esquisse",61,711,Cubism,24,24
179519,Portrait de Madame Heim,30,711,Cubism,24,24
182134,"Bateau sur La Seine, Environs de Paris",31,694,Fauvism,20,16
182244,Paysage aux Environs de Chatou,36,694,Fauvism,20,16
182624,Flowers in a Blue Vase,53,545,Symbolism,16,20
184965,Boys Caught Napping in a Field,46,802,American Art,20,16
185555,Along the Maine Coast,60,610,American Landscape,24,12
186017,"Tenafly, Autumn",53,733,,30,20
188327,The Crucifixion of St. Andrew,60,643,Baroque,24,19
188339,A Visit to the Art Dealer,60,643,Baroque,24,18
188346,Ahasver and Haman at the Banquet of Esther,47,643,Baroque,30,23
188359,Arcadia the Golden Age,55,643,Baroque,24,17
188370,Kronsus Shows Solon His Treasures,55,643,Baroque,24,18
188382,Flowers in a Vase,43,842,Baroque,18,24
188387,The Interior of the Buurkerk at Utrecht,43,767,Baroque,20,24
188392,The Interior of the Grote Kerk at Haarlem,43,767,Baroque,24,17
188419,"The Four Elements, Air",43,628,Renaissance,24,18
188424,"The Four Elements, Earth",43,628,Renaissance,24,18
188429,"The Four Elements, Fire",43,628,Renaissance,24,17
188434,"The Four Elements, Water",43,628,Renaissance,24,18
188444,A Young Woman Seated Drawing,43,586,Baroque,20,24
188449,The Music Lesson,43,586,Baroque,20,24
188568,Children Teaching a Cat to Dance,43,812,Baroque,21,24
188573,Family Scene,43,812,Baroque,20,24
188578,Interior with a Woman Feeding a Parrot,43,812,Baroque,19,24
188583,Man with a Fiddle in Bad Company,43,812,Baroque,20,24
188588,Prince's Day,43,812,Baroque,24,18
188593,Supper at Emmaus,43,812,Baroque,19,24
188598,The Adoration of the Shepherds,43,812,Baroque,24,20
188608,The Bowlers,43,812,Baroque,19,24
188613,The Drunken Couple,43,812,Baroque,24,20
188618,The Feast of St. Nicholas,43,812,Baroque,21,24
188623,The Merry Family,43,812,Baroque,24,19
188628,The Merry Homecoming,43,812,Baroque,24,16
188633,The Sick Woman,43,812,Baroque,20,24
188638,Woman at Her Toilet,43,812,Baroque,19,24
188643,Woman Scouring Metalware,43,812,Baroque,20,24
188648,Self-Portrait,43,812,Baroque,21,24
188653,The Quack,43,812,Baroque,24,18
188657,A Man Blowing Smoke at Drunken Woman,43,812,Baroque,20,24
188661,A Peasant Family at Meal Time Grace Before Meat,43,812,Baroque,20,24
188665,A Pedlar Selling Spectacles Outside a Cottage,43,812,Baroque,20,24
188669,A Young Woman Playing a Harpsichord to a Young Man,43,812,Baroque,19,24
188680,Birth of the Heir,67,700,Neo-Classicism,24,19
188687,Christening of the Heir,67,700,Neo-Classicism,24,19
188694,"The Benevolent Heir, Tenant Restored to His Family",67,700,Neo-Classicism,24,19
188701,"The Severe Steward, Unfortunate Tenant",67,700,Neo-Classicism,24,19
189215,An English Fleet Coming to Anchor,41,522,,36,24
189224,An English East Indiaman Bow View,41,522,,24,30
189394,The Banquet of Cleopatra,56,701,Renaissance,30,20
189401,The Building of the Trojan Horse,56,701,Renaissance,30,18
189406,The Procession of the Trojan Horse Into Troy,50,701,Renaissance,30,18
189411,Christ and the Woman Taken in Adultery,60,701,Renaissance,30,21
189476,View of Dordrecht,60,728,Baroque,24,16
189573,The Deposition,50,783,Renaissance,30,18
189581,Pietro,50,783,Renaissance,30,24
189589,The Magdalene Reading,50,783,Renaissance,26,30
189760,The Garden of Eden with the Fall of Man,55,675,Renaissance,30,19
189764,View of the City on a River,55,675,Renaissance,30,21
189793,Charles-FrancÂ¸ois Pinceloup de la Grange,55,751,Rococo,19,24
189804,Magdaleine Pinceloup de la Grange,55,751,Rococo,19,24
189813,A Girl with a Kitten,46,751,Rococo,24,30
189822,Jacques Cazotte,46,751,Rococo,24,30
189831,Portrait of a Woman,46,751,Rococo,24,30
190697,Two Men Playing Tric Trac with a Woman Scoring,43,564,Baroque,24,16
190704,Soldiers Fighting Over Booty in a Barn,43,564,Baroque,24,16
190729,The Royal Caroline,43,788,,24,16
190740,St. Albans Floated Out at Deptford,43,788,,24,16
190758,A Brigantine in a Calm Sea,43,788,,24,18
190831,DanaeÂ¨ and the Shower of Gold,53,891,Baroque,30,21
191191,Calm Sea,43,518,,24,19
191200,Ice Skating on the Eastern Docks of Amsterdam,43,518,,30,24
191223,View of Batavia,43,518,,24,19
191232,Ships Outside Dordrecht,43,518,,30,24
191257,Smalschips in a Calm Near the Shore at Sunset,43,518,,24,24
191970,A Young Man and Woman Making Music,47,818,Baroque,24,19
191992,Allegory of Vanity,47,818,Baroque,30,24
192001,Artist in His Studio,47,818,Baroque,30,24
192064,Two Boys and a Girl Making Music,67,818,Baroque,24,19
192073,Painter in His Studio,67,818,Baroque,36,24
192088,A Watercourse Near Abcoude,43,710,,30,24
192099,"Sunny Day, a Windmill on a Waterway",43,710,,30,24
192110,De Winkel Near Abcoude,43,710,,24,16
192120,Farm in the Open Fields,43,710,,36,24
192134,Landscape with two Trees,43,710,,36,24
192141,Windmill on a Pond,43,710,,24,16
192148,A Windmill on a Polder Waterway,43,710,,16,24
192160,Ducks' Nests,43,710,,16,24
192167,Landscape near Kortenhoef,43,710,,36,24
193489,"Weighing House and Crane on the Spaarne, Haarlem",43,657,Rococo,36,24
193505,View of the Golden Bend in the Herengracht,43,657,Rococo,24,16
193512,The Interior of the Grote Kerk Haarlem,43,657,Rococo,24,16
193530,The Main Gate to Egmond Castle,43,657,Rococo,30,24
193548,"The Town Hall on Dam Square, Amsterdam",43,657,Rococo,24,19
193557,"The Town Hall on the Dam, Amsterdam",43,657,Rococo,24,19
193566,The Market Place and the Grote Kerk at Haarlem,43,657,Rococo,24,19
193575,The Market Place and Town Hall Haarlem,43,657,Rococo,24,19
193587,"Aert van Nes, Vice Admiral",43,631,,24,24
193603,"Geertruida den Dubbelde, Wife of Aert van Nes",43,631,,24,24
193610,"Johan de Liefde, Vice-Admiral",43,631,,24,24
193647,Portrait of Andries Bicker,43,631,,19,24
193656,Portrait of Gerard Andriesz Bicker,43,631,,19,24
193674,Portrait of a Woman,43,631,,24,30
193683,Portrait of a Young Man in Military Costume,43,631,,24,30
193705,Catharina Annette Fraser,43,642,,24,30
193741,Girl Resting,43,642,,19,24
193750,Salome with the Head of John the Baptist,43,642,,24,30
193768,"Portrait of William II, King of the Netherlands",43,642,,24,30
193777,Portrait of Alida Christina Assink,43,642,,24,30
193799,Self-Portrait,43,867,Rococo,24,30
193844,Portrait of a Man,43,867,Rococo,19,24
193871,Portrait of a Member of the Van der Mersch Family,43,867,Rococo,29,36
193880,An Amsterdam Canal House Garden,43,867,Rococo,19,24
193917,Family Group near a Harpsichord,43,867,Rococo,29,36
193935,Johanna and the Jewish Merchants,43,867,Rococo,24,19
193942,Inspectors of the Collegium Medicum in Amsterdam,43,867,Rococo,36,29
193949,A Couple Making Music,35,867,Rococo,30,20
193969,Portrait of Joris Van Egmond,43,894,Renaissance,24,16
193980,The Dying Cleopatra,43,894,Renaissance,24,16
193987,Portrait of Cornelis Aerentsz van der Dussen,43,894,Renaissance,19,24
193998,Portrait of Reinoud III of Brederode,43,894,Renaissance,24,30
194014,A Man with a Pansy and a Skull,43,894,Renaissance,24,30
194022,The Baptism of Christ,43,894,Renaissance,24,30
194030,Landscape with Bathsheba,43,894,Renaissance,30,15
194043,Solomon and the Queen of Sheba,43,894,Renaissance,30,15
194051,Mary Magdalene,43,894,Renaissance,24,19
194065,"Barend Klijn Barendsz, Poet",43,569,,24,30
194092,"Portrait of Gerrit Verdooren, Vice-admiral",43,569,,24,30
194101,Portrait of Hendrick de Hartog,43,569,,19,24
194121,Morning Visit,43,569,,24,30
194139,Woman Baking Pancakes,43,569,,24,30
194162,The Art Gallery of Jan Gildemeester Jansz,43,569,,30,24
194169,The Art Gallery of Josephus Augustinus Brentano,43,569,,30,24
194176,The Drawing Gallery of the Felix Meritis Society,43,569,,30,23
194181,The Sculpture Gallery of the Felix Meritis Society,43,569,,30,22
194189,Agatha Petronella Hartsen,43,784,,24,30
194198,Hendrik Harmen Klijn,43,784,,24,30
194207,"Pieter Merkus, Governor General",43,784,,24,30
194279,Portrait of a Woman and a Man,43,784,,29,36
194297,Arcadian Landscape,43,784,,24,19
194318,The Battle of Waterloo,43,784,,36,24
194328,"A Chaous, a Courier to the Sultan",43,826,Orientalism,24,30
194339,A Greek Priest,43,826,Orientalism,24,30
194348,A Jewish Money-Changer,43,826,Orientalism,24,30
194357,A Soldier of the Janissaries,43,826,Orientalism,24,30
194366,A Turkish Woman,43,826,Orientalism,24,30
194375,Albanian Herdsman,43,826,Orientalism,24,30
194384,Albanian Soldier,43,826,Orientalism,24,30
194393,An Albanian Sailor,43,826,Orientalism,24,30
194402,"Choadar, Servant of the Ambassador",43,826,Orientalism,24,30
194411,"The Mufti, Head of Religious Affairs",43,826,Orientalism,24,30
194420,Dervish,43,826,Orientalism,24,30
194429,Grand Vizier Nevşehirli Damat  Ĭbrahim Pasa,43,826,Orientalism,24,30
194438,Grand Vizier,43,826,Orientalism,24,30
194447,Man from the Albanian Coast,43,826,Orientalism,24,30
194456,Man from the Bulgarian Coast,43,826,Orientalism,24,30
194465,Man from the Island of Kithnos (Thermia),43,826,Orientalism,24,30
194474,Man from the Island of Mykonos,43,826,Orientalism,24,30
194483,Man from the Island of Patmos,43,826,Orientalism,24,30
194492,Man from the Island of Sérifos,43,826,Orientalism,24,30
194501,Man from the Island of Tinos,43,826,Orientalism,24,30
194510,"Mehmet, the Vizir Ka^hyasi",43,826,Orientalism,24,30
194521,Patrona Halil,43,826,Orientalism,24,30
194530,Portrait of Sultan Ahmed III,43,826,Orientalism,24,30
194548,Sultan Ahmed III,43,826,Orientalism,24,30
194566,"The Capoudgi Bachi, Grand-Master of the Seraglio",43,826,Orientalism,24,30
194575,The Chaous Bachi,43,826,Orientalism,24,30
194593,"The Kazasker, Judge",43,826,Orientalism,24,30
194611,"The Reis Effendi, Head of the Chancery",43,826,Orientalism,24,30
194620,The Sultana-Mother,43,826,Orientalism,24,30
194630,Turkish Woman at Her Embroidery Frame,43,826,Orientalism,24,30
194639,Woman from the Albanian Coast,43,826,Orientalism,24,30
194648,Woman from the Bulgarian Coast,43,826,Orientalism,24,30
194657,Woman from the Island of Kithnos (Thermia),43,826,Orientalism,24,30
194666,Woman from the Island of Mykonos,43,826,Orientalism,24,30
194675,Woman from the Island of Patmos,43,826,Orientalism,24,30
194684,Woman from the Island of Tinos,43,826,Orientalism,24,30
194693,An Embassy Building in Pera,43,826,Orientalism,30,24
194702,Armenian Wedding,43,826,Orientalism,36,29
194711,Banquet of Distinguished Turkish Women,43,826,Orientalism,36,29
194718,Dervishes Sharing a Meal,43,826,Orientalism,36,29
194725,Greek Men and Women Dancing the Khorra,43,826,Orientalism,36,29
194739,Party of Armenians Playing Cards,43,826,Orientalism,36,29
194746,The Murder of Patrona Halil and His Fellow Rebels,43,826,Orientalism,36,29
194753,Turkish Women in the Countryside Near Istanbul,43,826,Orientalism,36,29
194760,Whirling Dervishes,43,826,Orientalism,36,29
194781,Fete Champetre with Turkish Courtiers Under a Tent,43,826,Orientalism,36,24
194788,Greek Wedding,43,826,Orientalism,36,24
194795,Lying-in Room of a Distinguished Turkish Woman,43,826,Orientalism,36,24
194802,The First Day of School,43,826,Orientalism,36,24
194816,The Meal in Honour of Ambassador Cornelis Calkoen,43,826,Orientalism,36,24
194823,View of Istanbul from the Dutch Embassy at Pera,43,826,Orientalism,36,24
194830,Wedding Procession on the Bosphorus,43,826,Orientalism,36,24
194993,Jockeys and Race Horses,51,598,Impressionism,24,19
195004,Bathers,51,598,Impressionism,24,18
195018,Group of Dancers,51,598,Impressionism,16,20
195031,Three Dancers with Hair in Braids,51,598,Impressionism,19,24
195044,Group of Dancers,51,598,Impressionism,16,24
195056,"Bathers, Annisquam",51,816,Realism,24,19
195066,Beach at Dieppe,51,816,Realism,30,24
195077,"Beach with Figures, Bellport",51,816,Realism,30,24
195088,Decoration,51,816,Realism,30,24
195099,Green Bowl of Flowers,51,816,Realism,24,19
195110,Race Track,51,816,Realism,30,24
195121,"Seascape with Six Bathers, Bellport",51,816,Realism,30,24
195132,"Street Cleaners, Washington Square",51,816,Realism,24,19
195143,Sunday on the Marne,51,816,Realism,24,19
195154,"The Bathing Hour, Chester, Nova Scotia",51,816,Realism,30,24
195165,The Raft,51,816,Realism,30,24
195178,Armenian Girl,51,816,Realism,24,30
195187,Girl in Red Dress Pinning on Hat,51,816,Realism,24,30
195195,Girl with Fox Furs,51,816,Realism,24,30
195203,"Head of Girl, Feather in Turban",51,816,Realism,24,30
195211,Sleeping Girl,51,816,Realism,24,30
195219,The Brunette,51,816,Realism,24,30
195227,Woman with Green Hat,51,816,Realism,24,30
195246,Woman in Red Blouse with Tulips,51,816,Realism,19,24
195257,Self-Portrait,51,816,Realism,19,24
195268,Girl in Green Turban,51,816,Realism,19,24
195279,Flowers,51,816,Realism,16,20
195288,Red Basket of Zinnias,51,816,Realism,16,20
195297,Tulips and Peonies in Pitcher,51,816,Realism,16,20
195309,Landscape Factories,51,816,Realism,24,16
195319,Woman Seated on the Red Sofa,51,816,Realism,19,24
195329,Seated Woman with Fur Neckpiece and Red Background,51,816,Realism,16,24
195338,Girl with Flowered Hat,51,816,Realism,16,24
195347,Pony Ballet,51,816,Realism,16,24
195361,The Postman,51,677,Post-Impressionism,19,24
195372,The Brothel,51,677,Post-Impressionism,24,19
195388,Entrance of the Port of Honfleur,51,689,Pointillism,24,19
195399,Figure on Bench,51,534,Avant-Garde,16,20
195410,Landscape with House,51,534,Avant-Garde,16,20
195421,Still Life,51,534,Avant-Garde,16,20
195432,Tulips in a Green Vase,51,534,Avant-Garde,16,20
195446,Hills,51,534,Avant-Garde,24,19
195460,Still Life with Jardinière,51,534,Avant-Garde,24,19
195477,Bouquet of Flowers with China Asters and Tokyos,51,807,Avant-Garde,15,20
195489,Bouquet of Flowers,51,807,Avant-Garde,13,20
195502,Portrait of a Woman in a Landscape,51,807,Avant-Garde,19,24
195513,Monkeys and Parrot in the Virgin Forest,51,807,Avant-Garde,19,24
195524,Study for View of the Pont de Sèvres,51,807,Avant-Garde,19,24
195535,Woman Walking in an Exotic Forest,51,807,Avant-Garde,24,30
195547,Woman with Basket of Eggs,51,807,Avant-Garde,19,24
195559,Landscape and Four Fisherman,51,807,Avant-Garde,24,19
195570,Landscape and Four Young Girls,51,807,Avant-Garde,24,19
195581,Outskirts of Paris,51,807,Avant-Garde,24,19
195592,Scouts Attacked by a Tiger,51,807,Avant-Garde,24,19
195604,The Family,51,807,Avant-Garde,24,19
195616,The Laundry Boat of Pont de Charenton,51,807,Avant-Garde,24,19
195627,The Rabbit's Meal,51,807,Avant-Garde,24,19
195638,"View of Montsouris Park, the Kiosk",51,807,Avant-Garde,24,19
195649,"The Past and the Present, or Philosophical Thought",51,807,Avant-Garde,16,24
195659,The Canal and Landscape with Tree Trunks,51,807,Avant-Garde,24,12
195696,Mont Sainte-Victoire,51,872,Impressionism,24,19
195711,Portrait of a Woman,51,872,Impressionism,19,24
195723,The Drinker,51,872,Impressionism,19,24
195735,Madame Cézanne with Green Hat,51,872,Impressionism,19,24
195747,Madame Cézanne,51,872,Impressionism,19,24
195759,Man with a Jacket,51,872,Impressionism,19,24
195771,Gardener,51,872,Impressionism,19,24
195782,Girl with Birdcage,51,872,Impressionism,19,24
195793,The Toilette,51,872,Impressionism,19,24
195804,Young Man and Skull,51,872,Impressionism,38,51
195815,Peasant Standing with Arms Crossed,51,872,Impressionism,16,24
195837,Bottle and Fruits,51,872,Impressionism,24,16
195846,Four Peaches on a Plate,51,872,Impressionism,24,16
195855,Grapes and Peach on a Plate,51,872,Impressionism,24,16
195864,Plate of Fruit on a Chair,51,872,Impressionism,24,16
195873,Plate with Fruit and Pot of Preserves,51,872,Impressionism,24,16
195882,The Village of L'Estaque Seen from the Sea,51,872,Impressionism,30,20
195893,Fruit on a Table,51,872,Impressionism,24,19
195904,Still Life,51,872,Impressionism,24,19
195915,Still Life with Skull,51,872,Impressionism,24,19
195926,The Large Pear,51,872,Impressionism,24,19
195941,Bathers (Baigneurs),51,872,Impressionism,24,19
195952,Four Bathers,51,872,Impressionism,24,19
195963,Group of Bathers,51,872,Impressionism,24,19
195974,Leda and the Swan,51,872,Impressionism,24,19
195985,Three Bathers,51,872,Impressionism,24,19
195995,Autumn Landscape,51,872,Impressionism,24,19
196006,House and Trees,51,872,Impressionism,24,19
196017,Bibémus,51,872,Impressionism,24,19
196028,House in Provence,51,872,Impressionism,24,19
196039,"The Bellevue Plain, The Red Earth",51,872,Impressionism,24,19
196061,The Farm at the Jas de Bouffan,51,872,Impressionism,24,19
196072,Toward Mont Sainte-Victoire,51,872,Impressionism,24,19
196083,Bibémus Quarry,51,872,Impressionism,19,24
196094,Church at Montigny-sur-Loing,51,872,Impressionism,19,24
196105,Rocks and Trees,51,872,Impressionism,19,24
196116,Terracotta Pots and Flowers,51,872,Impressionism,19,24
196136,The Spring House,51,872,Impressionism,19,24
196146,Trees and Road,51,872,Impressionism,19,24
196156,The Flowered Vase,51,872,Impressionism,19,24
196166,Hunting Cabin in Provence,51,872,Impressionism,24,16
196177,The Allée at Marines,51,872,Impressionism,24,16
196188,Five Bathers,51,872,Impressionism,24,19
196198,Masts,51,582,,19,24
196210,Piano Mover's Holiday,51,582,,19,24
196222,Seated Figure,51,849,Expressionism,19,24
196233,Les Tunisiennes,51,849,Expressionism,24,30
196244,Landscape with Figures and Carriage,51,849,Impressionism,30,24
196255,Southern Landscape,51,849,Impressionism,30,24
196284,Bathers (Baigneuses),51,500,Impressionism,24,19
196295,Bathing Group,51,500,Impressionism,24,19
196306,"Composition, Five Bathers",51,500,Impressionism,24,19
196317,After the Bath,51,500,Impressionism,24,30
196325,After the Bath,51,500,Impressionism,19,24
196335,Bather (Baigneuse),51,500,Impressionism,19,24
196345,Bather (Baigneuse),51,500,Impressionism,19,24
196355,Bather Drying Herself,51,500,Impressionism,19,24
196365,Bather Drying Herself,51,500,Impressionism,19,24
196376,Bather in Three-Quarter View,51,500,Impressionism,19,24
196387,Before the Bath,51,500,Impressionism,19,24
196397,Nude from the Back,51,500,Impressionism,19,24
196407,Nude in a Landscape,51,500,Impressionism,19,24
196417,Nude with Castanets,51,500,Impressionism,19,24
196427,Odalisque with Tea Set,51,500,Impressionism,19,24
196437,Rising (Le Lever),51,500,Impressionism,19,24
196447,"Seated Female Nude, Profile View",51,500,Impressionism,19,24
196457,Seated Odalisque,51,500,Impressionism,19,24
196467,Standing Bather,51,500,Impressionism,19,24
196477,Claude Renoir,51,500,Impressionism,16,20
196489,Cup of Chocolate,51,500,Impressionism,16,20
196501,Girl Darning,51,500,Impressionism,16,20
196513,Girl in Gray-Blue,51,500,Impressionism,16,20
196525,Girl Seated in a Landscape,51,500,Impressionism,16,20
196537,Girl with Pink Bonnet,51,500,Impressionism,16,20
196549,Girls with Hats,51,500,Impressionism,16,20
196561,"Head, Etude de Brodeuse",51,500,Impressionism,16,20
196573,Head of Young Girl,51,500,Impressionism,16,20
196585,Lise in a Straw Hat,51,500,Impressionism,16,20
196597,Portrait of a Man (Monsieur Charpentier),51,500,Impressionism,16,20
196609,Portrait of Félix Hippolyte-Lucas,51,500,Impressionism,16,20
